Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
c1ccccc1,CC(C)O,313.2,1.3029127521808397
C[N+](=O)[O-],CC(C)O,298.2,2.238579763018133
CCC(C)(C)C,CC(C)O,308.2,1.7783364488959144
CC(C)CO,CC(C)O,313.2,-0.020202707317519466
CCc1ccccc1,CC(C)O,298.2,1.824549292051046
CCc1ccccc1,CC(C)O,298.2,1.803358605071407
CCCCc1ccccc1,CC(C)O,298.2,2.1412419425852827
CCCCc1ccccc1,CC(C)O,298.2,2.1400661634962708
CCCC(C)C,CC(C)O,298.2,1.8702625307159986
CC(C)CC(C)C,CC(C)O,298.2,2.005525858729668
CC(C)CC(C)C,CC(C)O,308.2,1.9329696377795786
Cc1cccc(C)n1,CC(C)O,313.2,0.11332868530700327
CC1CCCCC1,CC(C)O,323.9,1.7950872593207297
CC1CCCCC1,CC(C)O,332.7,1.7578579175523736
CC1CCCCC1,CC(C)O,343.8,1.6974487897568136
CC1CCCCC1,CC(C)O,354.6,1.6409365794934714
Cc1ccccc1,CC(C)O,298.2,1.667706820558076
Cc1ccccc1,CC(C)O,298.2,1.6448050562713916
Cc1ccccc1,CC(C)O,298.2,1.6253112615903906
